Name,SUBDIVISION,YEAR,ANNUAL,Jan-Feb,Mar-May,June-September,Oct-Dec
ROW277,Assam & Meghalaya,1966,2789.3,43.6,524.1,2053.9,167.7
ROW278,Assam & Meghalaya,1967,2123.3,48.7,505.4,1452.9,116.3
ROW279,Assam & Meghalaya,1968,2530.8,42.7,681.3,1666.8,140
ROW280,Assam & Meghalaya,1969,2332.3,29.2,532.5,1660.4,110.2
ROW281,Assam & Meghalaya,1970,3048.5,82.8,787.9,1913.5,264.3
ROW282,Assam & Meghalaya,1971,2315.1,55.3,416.8,1551.4,291.6
ROW283,Assam & Meghalaya,1972,2379.1,57.6,698.9,1515.3,107.3
ROW284,Assam & Meghalaya,1973,2672.1,92.6,605.5,1742.6,231.4
ROW285,Assam & Meghalaya,1974,3403.6,43,703.9,2356.3,300.4
ROW286,Assam & Meghalaya,1975,2270.6,32.3,567.9,1473.9,196.5
ROW287,Assam & Meghalaya,1976,1956,42,411.5,1407.8,94.7
ROW288,Assam & Meghalaya,1977,2616.7,25.3,841.1,1505.1,245.2
ROW289,Assam & Meghalaya,1978,2011.8,13.2,398.9,1478.2,121.5
ROW290,Assam & Meghalaya,1979,2188.4,12,357.6,1542.6,276.2
ROW291,Assam & Meghalaya,1980,2289.2,49.4,559.5,1537.1,143.2
ROW292,Assam & Meghalaya,1981,2079.3,60.3,494.6,1431.8,92.6
ROW293,Assam & Meghalaya,1982,2382.3,32.9,520.4,1720.7,108.3
ROW294,Assam & Meghalaya,1983,2620.2,54.2,534.1,1844.2,187.7
ROW295,Assam & Meghalaya,1984,3156.9,29.6,647.4,2292.4,187.5
ROW296,Assam & Meghalaya,1985,2801.7,41,755.7,1895.1,109.9
ROW297,Assam & Meghalaya,1986,2592.7,28.1,470.5,1726.7,367.4
ROW298,Assam & Meghalaya,1987,2921.6,36.6,507,2170.7,207.3
ROW299,Assam & Meghalaya,1988,3261.7,53.4,808.8,2151,248.5
ROW300,Assam & Meghalaya,1989,2682.3,62.1,473.9,1929.5,216.8
ROW301,Assam & Meghalaya,1990,2771.2,66.1,734.5,1750.1,220.5
ROW302,Assam & Meghalaya,1991,2838,43.9,733.6,1783.8,276.7
ROW303,Assam & Meghalaya,1992,2259.7,61,468.8,1578.5,151.4
ROW304,Assam & Meghalaya,1993,2879.2,170.2,598.6,1969.9,140.5
ROW305,Assam & Meghalaya,1994,2121.3,69.1,600.5,1273.4,178.3
ROW306,Assam & Meghalaya,1995,2886,48.4,486.8,2169,181.8
ROW307,Assam & Meghalaya,1996,2466.8,36,616.4,1543.5,270.9
ROW308,Assam & Meghalaya,1997,2372.2,58.9,465.5,1763.4,84.4
ROW309,Assam & Meghalaya,1998,2803.1,43.3,573.1,1947.4,239.3
ROW310,Assam & Meghalaya,1999,2594.1,2.9,656.1,1710.1,225
